2025-07-07T09:14:40Z | WARNING | Cargar_Bitacoras | Timestamp de backup ignorado por formato inválido: 20250707
2025-07-07T09:14:40Z | INFO | Cargar_Bitacoras | Bitácora actualizada con éxito
2025-07-07T09:14:40Z | INFO | Cargar_Bitacoras | Registro changelog: alta | Entrada: 2438e917-35f1-4f02-969b-4374f2aa3235
2025-07-07T09:14:40Z | INFO | Cargar_Bitacoras | ✅ Entrada agregada: ID=2438e917-35f1-4f02-969b-4374f2aa3235
2025-07-07T18:05:16Z | INFO | Cargar_Bitacoras | 🚀 Iniciando comando: AGREGAR
2025-07-07T18:05:16Z | INFO | Cargar_Bitacoras | Operación cancelada por el usuario
2025-07-07T18:05:27Z | INFO | Cargar_Bitacoras | 🚀 Iniciando comando: AGREGAR
2025-07-07T18:05:28Z | INFO | Cargar_Bitacoras | Backups creados: bitacora_backup_20250707_180528.parquet, metadata_backup_20250707_180528.yaml
2025-07-07T18:05:28Z | WARNING | Cargar_Bitacoras | Timestamp de backup ignorado por formato inválido: 20250707
2025-07-07T18:05:29Z | ERROR | Cargar_Bitacoras | FALLO GUARDADO: 'BitacoraManager' object has no attribute 'calcular_hash_metadata'
2025-07-07T18:05:29Z | WARNING | Cargar_Bitacoras | ⚠️  Restaurando desde último backup...
2025-07-07T18:05:29Z | ERROR | Cargar_Bitacoras | Backup incompleto para timestamp: 20250707
2025-07-07T18:05:29Z | ERROR | Cargar_Bitacoras | 🚨 ERROR CRÍTICO: Error guardando bitácora: 'BitacoraManager' object has no attribute 'calcular_hash_metadata'
2025-07-07T18:05:29Z | WARNING | Cargar_Bitacoras | Revertiendo cambios...
2025-07-07T18:05:29Z | ERROR | Cargar_Bitacoras | Backup incompleto para timestamp: 20250707
2025-07-07T18:06:10Z | INFO | Cargar_Bitacoras | 🚀 Iniciando comando: AGREGAR
2025-07-07T18:06:10Z | ERROR | Cargar_Bitacoras | ERROR METADATA: Metadato obligatorio faltante: hash_metadata
2025-07-07T18:06:10Z | ERROR | Cargar_Bitacoras | 🚨 ERROR CRÍTICO: Metadata corrupto: Metadato obligatorio faltante: hash_metadata
2025-07-07T18:11:09Z | INFO | Cargar_Bitacoras | 🚀 Iniciando comando: AGREGAR
2025-07-07T18:11:11Z | INFO | Cargar_Bitacoras | Metadata YAML creado vacío: /home/alma/Documents/Journal/Bitacora/bitacora_viva.metadata.yaml
2025-07-07T18:11:11Z | INFO | Cargar_Bitacoras | Backups creados: bitacora_backup_20250707_181111.parquet, metadata_backup_20250707_181111.yaml
2025-07-07T18:11:11Z | WARNING | Cargar_Bitacoras | Timestamp de backup ignorado por formato inválido: 20250707
2025-07-07T18:11:11Z | INFO | Cargar_Bitacoras | Bitácora actualizada con éxito
2025-07-07T18:11:11Z | INFO | Cargar_Bitacoras | Registro changelog: alta | Entrada: b621197b-c63d-4520-9fbb-2ad8c151a5eb
2025-07-07T18:11:11Z | INFO | Cargar_Bitacoras | ✅ Entrada agregada: ID=b621197b-c63d-4520-9fbb-2ad8c151a5eb
2025-07-07T18:15:00Z | INFO | Cargar_Bitacoras | 🚀 Iniciando comando: VALIDAR
2025-07-07T18:15:00Z | INFO | Cargar_Bitacoras | ✅ Validación exitosa. Integridad confirmada.
